file,topic_no,topic,level,question_no,answer
t01_m.md,1,Кинематика,Средний,32,"A,B,C"
t01_m.md,1,Кинематика,Средний,33,"A,B,C"
t01_m.md,1,Кинематика,Средний,34,"A,B"
t01_m.md,1,Кинематика,Средний,35,"A,B,C"
t01_m.md,1,Кинематика,Средний,36,1-B; 2-D; 3-A; 4-C
t01_m.md,1,Кинематика,Средний,37,1-B; 2-D; 3-A; 4-C
t01_m.md,1,Кинематика,Средний,38,1-B; 2-D; 3-A; 4-C
t01_m.md,1,Кинематика,Средний,39,1-B; 2-D; 3-A; 4-C
t01_m.md,1,Кинематика,Средний,40,1-B; 2-D; 3-A; 4-C
t01_h.md,1,Кинематика,Высокий,1,D
t01_h.md,1,Кинематика,Высокий,2,D
t01_h.md,1,Кинематика,Высокий,3,C
t01_h.md,1,Кинематика,Высокий,4,A
t01_h.md,1,Кинематика,Высокий,5,D
t01_h.md,1,Кинематика,Высокий,6,C
t01_h.md,1,Кинематика,Высокий,7,B
t01_h.md,1,Кинематика,Высокий,8,D
t01_h.md,1,Кинематика,Высокий,9,D
t01_h.md,1,Кинематика,Высокий,10,B
t01_h.md,1,Кинематика,Высокий,11,C
t01_h.md,1,Кинематика,Высокий,12,A
t01_h.md,1,Кинематика,Высокий,13,D
t01_h.md,1,Кинематика,Высокий,14,D
t01_h.md,1,Кинематика,Высокий,15,D
t01_h.md,1,Кинематика,Высокий,16,D
t01_h.md,1,Кинематика,Высокий,17,D
t01_h.md,1,Кинематика,Высокий,18,A
t01_h.md,1,Кинематика,Высокий,19,D
t01_h.md,1,Кинематика,Высокий,20,A
t01_h.md,1,Кинематика,Высокий,21,B
t01_h.md,1,Кинематика,Высокий,22,D
t01_h.md,1,Кинематика,Высокий,23,B
t01_h.md,1,Кинематика,Высокий,24,C
t01_h.md,1,Кинематика,Высокий,25,D
t01_h.md,1,Кинематика,Высокий,26,D
t01_h.md,1,Кинематика,Высокий,27,A
t01_h.md,1,Кинематика,Высокий,28,D
t01_h.md,1,Кинематика,Высокий,29,D
t01_h.md,1,Кинематика,Высокий,30,D
t01_h.md,1,Кинематика,Высокий,31,"A,B,C"
t01_h.md,1,Кинематика,Высокий,32,"A,B,C"
t01_h.md,1,Кинематика,Высокий,33,"A,B,C"
t01_h.md,1,Кинематика,Высокий,34,"A,B"
t01_h.md,1,Кинематика,Высокий,35,"A,B,C"
t01_h.md,1,Кинематика,Высокий,36,1-B; 2-D; 3-A; 4-C
t01_h.md,1,Кинематика,Высокий,37,1-B; 2-D; 3-A; 4-C
t01_h.md,1,Кинематика,Высокий,38,1-B; 2-D; 3-A; 4-C
t01_h.md,1,Кинематика,Высокий,39,1-B; 2-D; 3-A; 4-C
t01_h.md,1,Кинематика,Высокий,40,1-B; 2-D; 3-A; 4-C
t02_b.md,2,Динамика,Базовый,1,C
t02_b.md,2,Динамика,Базовый,2,C
t02_b.md,2,Динамика,Базовый,3,D
t02_b.md,2,Динамика,Базовый,4,D
t02_b.md,2,Динамика,Базовый,5,A
t02_b.md,2,Динамика,Базовый,6,D
t02_b.md,2,Динамика,Базовый,7,D
t02_b.md,2,Динамика,Базовый,8,B
t02_b.md,2,Динамика,Базовый,9,B
t02_b.md,2,Динамика,Базовый,10,C
t02_b.md,2,Динамика,Базовый,11,A
t02_b.md,2,Динамика,Базовый,12,D
t02_b.md,2,Динамика,Базовый,13,D
t02_b.md,2,Динамика,Базовый,14,D
t02_b.md,2,Динамика,Базовый,15,D
t02_b.md,2,Динамика,Базовый,16,D
t02_b.md,2,Динамика,Базовый,17,A
t02_b.md,2,Динамика,Базовый,18,D
t02_b.md,2,Динамика,Базовый,19,A
t02_b.md,2,Динамика,Базовый,20,B
t02_b.md,2,Динамика,Базовый,21,D
t02_b.md,2,Динамика,Базовый,22,B
t02_b.md,2,Динамика,Базовый,23,C
t02_b.md,2,Динамика,Базовый,24,D
t02_b.md,2,Динамика,Базовый,25,D
t02_b.md,2,Динамика,Базовый,26,D
t02_b.md,2,Динамика,Базовый,27,A
t02_b.md,2,Динамика,Базовый,28,D
t02_b.md,2,Динамика,Базовый,29,D
t02_b.md,2,Динамика,Базовый,30,D
t02_b.md,2,Динамика,Базовый,31,"A,B,C"
t02_b.md,2,Динамика,Базовый,32,"A,B,C"
t02_b.md,2,Динамика,Базовый,33,"A,B,C"
t02_b.md,2,Динамика,Базовый,34,"A,B"
t02_b.md,2,Динамика,Базовый,35,"A,B,C"
t02_b.md,2,Динамика,Базовый,36,1-B; 2-D; 3-A; 4-C
t02_b.md,2,Динамика,Базовый,37,1-B; 2-D; 3-A; 4-C
t02_b.md,2,Динамика,Базовый,38,1-B; 2-D; 3-A; 4-C
t02_b.md,2,Динамика,Базовый,39,1-B; 2-D; 3-A; 4-C
t02_b.md,2,Динамика,Базовый,40,1-B; 2-D; 3-A; 4-C
t02_m.md,2,Динамика,Средний,1,C
t02_m.md,2,Динамика,Средний,2,C
t02_m.md,2,Динамика,Средний,3,D
t02_m.md,2,Динамика,Средний,4,D
t02_m.md,2,Динамика,Средний,5,A
t02_m.md,2,Динамика,Средний,6,D
t02_m.md,2,Динамика,Средний,7,D
t02_m.md,2,Динамика,Средний,8,B
t02_m.md,2,Динамика,Средний,9,B
t02_m.md,2,Динамика,Средний,10,C
t02_m.md,2,Динамика,Средний,11,A
t02_m.md,2,Динамика,Средний,12,D
t02_m.md,2,Динамика,Средний,13,D
t02_m.md,2,Динамика,Средний,14,D
t02_m.md,2,Динамика,Средний,15,D
t02_m.md,2,Динамика,Средний,16,D
t02_m.md,2,Динамика,Средний,17,A
t02_m.md,2,Динамика,Средний,18,D
t02_m.md,2,Динамика,Средний,19,A
t02_m.md,2,Динамика,Средний,20,B
t02_m.md,2,Динамика,Средний,21,D
t02_m.md,2,Динамика,Средний,22,B
t02_m.md,2,Динамика,Средний,23,C
t02_m.md,2,Динамика,Средний,24,D
t02_m.md,2,Динамика,Средний,25,D
t02_m.md,2,Динамика,Средний,26,D
t02_m.md,2,Динамика,Средний,27,A
t02_m.md,2,Динамика,Средний,28,D
t02_m.md,2,Динамика,Средний,29,D
t02_m.md,2,Динамика,Средний,30,D
t02_m.md,2,Динамика,Средний,31,"A,B,C"
t02_m.md,2,Динамика,Средний,32,"A,B,C"
t02_m.md,2,Динамика,Средний,33,"A,B,C"
t02_m.md,2,Динамика,Средний,34,"A,B"
t02_m.md,2,Динамика,Средний,35,"A,B,C"
t02_m.md,2,Динамика,Средний,36,1-B; 2-D; 3-A; 4-C
t02_m.md,2,Динамика,Средний,37,1-B; 2-D; 3-A; 4-C
t02_m.md,2,Динамика,Средний,38,1-B; 2-D; 3-A; 4-C
t02_m.md,2,Динамика,Средний,39,1-B; 2-D; 3-A; 4-C
t02_m.md,2,Динамика,Средний,40,1-B; 2-D; 3-A; 4-C
t02_h.md,2,Динамика,Высокий,1,C
t02_h.md,2,Динамика,Высокий,2,C
t02_h.md,2,Динамика,Высокий,3,D
t02_h.md,2,Динамика,Высокий,4,D
t02_h.md,2,Динамика,Высокий,5,A
t02_h.md,2,Динамика,Высокий,6,D
t02_h.md,2,Динамика,Высокий,7,D
t02_h.md,2,Динамика,Высокий,8,B
t02_h.md,2,Динамика,Высокий,9,B
t02_h.md,2,Динамика,Высокий,10,C
t02_h.md,2,Динамика,Высокий,11,A
t02_h.md,2,Динамика,Высокий,12,D
t02_h.md,2,Динамика,Высокий,13,D
t02_h.md,2,Динамика,Высокий,14,D
t02_h.md,2,Динамика,Высокий,15,D
t02_h.md,2,Динамика,Высокий,16,D
t02_h.md,2,Динамика,Высокий,17,A
t02_h.md,2,Динамика,Высокий,18,D
t02_h.md,2,Динамика,Высокий,19,A
t02_h.md,2,Динамика,Высокий,20,B
t02_h.md,2,Динамика,Высокий,21,D
t02_h.md,2,Динамика,Высокий,22,B
t02_h.md,2,Динамика,Высокий,23,C
t02_h.md,2,Динамика,Высокий,24,D
t02_h.md,2,Динамика,Высокий,25,D
t02_h.md,2,Динамика,Высокий,26,D
t02_h.md,2,Динамика,Высокий,27,A
t02_h.md,2,Динамика,Высокий,28,D
t02_h.md,2,Динамика,Высокий,29,D
t02_h.md,2,Динамика,Высокий,30,D
t02_h.md,2,Динамика,Высокий,31,"A,B,C"
t02_h.md,2,Динамика,Высокий,32,"A,B,C"
t02_h.md,2,Динамика,Высокий,33,"A,B,C"
t02_h.md,2,Динамика,Высокий,34,"A,B"
t02_h.md,2,Динамика,Высокий,35,"A,B,C"
t02_h.md,2,Динамика,Высокий,36,1-B; 2-D; 3-A; 4-C
t02_h.md,2,Динамика,Высокий,37,1-B; 2-D; 3-A; 4-C
t02_h.md,2,Динамика,Высокий,38,1-B; 2-D; 3-A; 4-C
t02_h.md,2,Динамика,Высокий,39,1-B; 2-D; 3-A; 4-C
t02_h.md,2,Динамика,Высокий,40,1-B; 2-D; 3-A; 4-C
t03_b.md,3,Статика,Базовый,1,D
t03_b.md,3,Статика,Базовый,2,D
t03_b.md,3,Статика,Базовый,3,A
t03_b.md,3,Статика,Базовый,4,C
t03_b.md,3,Статика,Базовый,5,D
t03_b.md,3,Статика,Базовый,6,D
t03_b.md,3,Статика,Базовый,7,B
t03_b.md,3,Статика,Базовый,8,B
t03_b.md,3,Статика,Базовый,9,C
t03_b.md,3,Статика,Базовый,10,A
t03_b.md,3,Статика,Базовый,11,D
t03_b.md,3,Статика,Базовый,12,D
t03_b.md,3,Статика,Базовый,13,D
t03_b.md,3,Статика,Базовый,14,D
t03_b.md,3,Статика,Базовый,15,D
t03_b.md,3,Статика,Базовый,16,A
t03_b.md,3,Статика,Базовый,17,D
t03_b.md,3,Статика,Базовый,18,A
t03_b.md,3,Статика,Базовый,19,B
t03_b.md,3,Статика,Базовый,20,D
t03_b.md,3,Статика,Базовый,21,B
t03_b.md,3,Статика,Базовый,22,C
t03_b.md,3,Статика,Базовый,23,D
t03_b.md,3,Статика,Базовый,24,D
t03_b.md,3,Статика,Базовый,25,B
t03_b.md,3,Статика,Базовый,26,D
t03_b.md,3,Статика,Базовый,27,A
t03_b.md,3,Статика,Базовый,28,D
t03_b.md,3,Статика,Базовый,29,D
t03_b.md,3,Статика,Базовый,30,D
t03_b.md,3,Статика,Базовый,31,"A,B,C"
t03_b.md,3,Статика,Базовый,32,"A,B,C"
t03_b.md,3,Статика,Базовый,33,"A,B,C"
t03_b.md,3,Статика,Базовый,34,"A,B"
t03_b.md,3,Статика,Базовый,35,"A,B,C"
t03_b.md,3,Статика,Базовый,36,1-B; 2-D; 3-A; 4-C
t03_b.md,3,Статика,Базовый,37,1-B; 2-D; 3-A; 4-C
t03_b.md,3,Статика,Базовый,38,1-B; 2-D; 3-A; 4-C
t03_b.md,3,Статика,Базовый,39,1-B; 2-D; 3-A; 4-C
t03_b.md,3,Статика,Базовый,40,1-B; 2-D; 3-A; 4-C
t03_m.md,3,Статика,Средний,1,D
t03_m.md,3,Статика,Средний,2,D
t03_m.md,3,Статика,Средний,3,A
t03_m.md,3,Статика,Средний,4,C
t03_m.md,3,Статика,Средний,5,D
t03_m.md,3,Статика,Средний,6,D
t03_m.md,3,Статика,Средний,7,B
t03_m.md,3,Статика,Средний,8,B
t03_m.md,3,Статика,Средний,9,C
t03_m.md,3,Статика,Средний,10,A
t03_m.md,3,Статика,Средний,11,D
t03_m.md,3,Статика,Средний,12,D
t03_m.md,3,Статика,Средний,13,D
t03_m.md,3,Статика,Средний,14,D
t03_m.md,3,Статика,Средний,15,D
t03_m.md,3,Статика,Средний,16,A
t03_m.md,3,Статика,Средний,17,D
t03_m.md,3,Статика,Средний,18,A
t03_m.md,3,Статика,Средний,19,B
t03_m.md,3,Статика,Средний,20,D
t03_m.md,3,Статика,Средний,21,B
t03_m.md,3,Статика,Средний,22,C
t03_m.md,3,Статика,Средний,23,D
t03_m.md,3,Статика,Средний,24,D
t03_m.md,3,Статика,Средний,25,B
t03_m.md,3,Статика,Средний,26,D
t03_m.md,3,Статика,Средний,27,A
t03_m.md,3,Статика,Средний,28,D
t03_m.md,3,Статика,Средний,29,D
t03_m.md,3,Статика,Средний,30,D
t03_m.md,3,Статика,Средний,31,"A,B,C"
t03_m.md,3,Статика,Средний,32,"A,B,C"
t03_m.md,3,Статика,Средний,33,"A,B,C"
t03_m.md,3,Статика,Средний,34,"A,B"
t03_m.md,3,Статика,Средний,35,"A,B,C"
t03_m.md,3,Статика,Средний,36,1-B; 2-D; 3-A; 4-C
t03_m.md,3,Статика,Средний,37,1-B; 2-D; 3-A; 4-C
t03_m.md,3,Статика,Средний,38,1-B; 2-D; 3-A; 4-C
t03_m.md,3,Статика,Средний,39,1-B; 2-D; 3-A; 4-C
t03_m.md,3,Статика,Средний,40,1-B; 2-D; 3-A; 4-C
t03_h.md,3,Статика,Высокий,1,D
t03_h.md,3,Статика,Высокий,2,D
t03_h.md,3,Статика,Высокий,3,A
t03_h.md,3,Статика,Высокий,4,C
t03_h.md,3,Статика,Высокий,5,D
t03_h.md,3,Статика,Высокий,6,D
t03_h.md,3,Статика,Высокий,7,B
t03_h.md,3,Статика,Высокий,8,B
t03_h.md,3,Статика,Высокий,9,C
t03_h.md,3,Статика,Высокий,10,A
t03_h.md,3,Статика,Высокий,11,D
t03_h.md,3,Статика,Высокий,12,D
t03_h.md,3,Статика,Высокий,13,D
t03_h.md,3,Статика,Высокий,14,D
t03_h.md,3,Статика,Высокий,15,D
t03_h.md,3,Статика,Высокий,16,A
t03_h.md,3,Статика,Высокий,17,D
t03_h.md,3,Статика,Высокий,18,A
t03_h.md,3,Статика,Высокий,19,B
t03_h.md,3,Статика,Высокий,20,D
t03_h.md,3,Статика,Высокий,21,B
t03_h.md,3,Статика,Высокий,22,C
t03_h.md,3,Статика,Высокий,23,D
t03_h.md,3,Статика,Высокий,24,D
t03_h.md,3,Статика,Высокий,25,B
t03_h.md,3,Статика,Высокий,26,D
t03_h.md,3,Статика,Высокий,27,A
t03_h.md,3,Статика,Высокий,28,D
t03_h.md,3,Статика,Высокий,29,D
t03_h.md,3,Статика,Высокий,30,D
t03_h.md,3,Статика,Высокий,31,"A,B,C"
t03_h.md,3,Статика,Высокий,32,"A,B,C"
t03_h.md,3,Статика,Высокий,33,"A,B,C"
t03_h.md,3,Статика,Высокий,34,"A,B"
t03_h.md,3,Статика,Высокий,35,"A,B,C"
t03_h.md,3,Статика,Высокий,36,1-B; 2-D; 3-A; 4-C
t03_h.md,3,Статика,Высокий,37,1-B; 2-D; 3-A; 4-C
t03_h.md,3,Статика,Высокий,38,1-B; 2-D; 3-A; 4-C
t03_h.md,3,Статика,Высокий,39,1-B; 2-D; 3-A; 4-C
t03_h.md,3,Статика,Высокий,40,1-B; 2-D; 3-A; 4-C
t04_b.md,4,Законы сохранения,Базовый,1,A
t04_b.md,4,Законы сохранения,Базовый,2,D
t04_b.md,4,Законы сохранения,Базовый,3,D
t04_b.md,4,Законы сохранения,Базовый,4,D
t04_b.md,4,Законы сохранения,Базовый,5,D
t04_b.md,4,Законы сохранения,Базовый,6,D
t04_b.md,4,Законы сохранения,Базовый,7,D
t04_b.md,4,Законы сохранения,Базовый,8,D
t04_b.md,4,Законы сохранения,Базовый,9,A
t04_b.md,4,Законы сохранения,Базовый,10,D
t04_b.md,4,Законы сохранения,Базовый,11,D
t04_b.md,4,Законы сохранения,Базовый,12,D
t04_b.md,4,Законы сохранения,Базовый,13,D
t04_b.md,4,Законы сохранения,Базовый,14,D
t04_b.md,4,Законы сохранения,Базовый,15,A
t04_b.md,4,Законы сохранения,Базовый,16,D
t04_b.md,4,Законы сохранения,Базовый,17,A
t04_b.md,4,Законы сохранения,Базовый,18,B
t04_b.md,4,Законы сохранения,Базовый,19,D
t04_b.md,4,Законы сохранения,Базовый,20,B
t04_b.md,4,Законы сохранения,Базовый,21,C
t04_b.md,4,Законы сохранения,Базовый,22,D
t04_b.md,4,Законы сохранения,Базовый,23,D
t04_b.md,4,Законы сохранения,Базовый,24,B
t04_b.md,4,Законы сохранения,Базовый,25,C
t04_b.md,4,Законы сохранения,Базовый,26,D
t04_b.md,4,Законы сохранения,Базовый,27,A
t04_b.md,4,Законы сохранения,Базовый,28,D
t04_b.md,4,Законы сохранения,Базовый,29,D
t04_b.md,4,Законы сохранения,Базовый,30,D
t04_b.md,4,Законы сохранения,Базовый,31,"A,B,C"
t04_b.md,4,Законы сохранения,Базовый,32,"A,B,C"
t04_b.md,4,Законы сохранения,Базовый,33,"A,B,C"
t04_b.md,4,Законы сохранения,Базовый,34,"A,B"
t04_b.md,4,Законы сохранения,Базовый,35,"A,B,C"
t04_b.md,4,Законы сохранения,Базовый,36,1-B; 2-D; 3-A; 4-C
t04_b.md,4,Законы сохранения,Базовый,37,1-B; 2-D; 3-A; 4-C
t04_b.md,4,Законы сохранения,Базовый,38,1-B; 2-D; 3-A; 4-C
t04_b.md,4,Законы сохранения,Базовый,39,1-B; 2-D; 3-A; 4-C
t04_b.md,4,Законы сохранения,Базовый,40,1-B; 2-D; 3-A; 4-C
t04_m.md,4,Законы сохранения,Средний,1,A
t04_m.md,4,Законы сохранения,Средний,2,D
t04_m.md,4,Законы сохранения,Средний,3,D
t04_m.md,4,Законы сохранения,Средний,4,D
t04_m.md,4,Законы сохранения,Средний,5,D
t04_m.md,4,Законы сохранения,Средний,6,D
t04_m.md,4,Законы сохранения,Средний,7,D
t04_m.md,4,Законы сохранения,Средний,8,D
t04_m.md,4,Законы сохранения,Средний,9,A
t04_m.md,4,Законы сохранения,Средний,10,D
t04_m.md,4,Законы сохранения,Средний,11,D
t04_m.md,4,Законы сохранения,Средний,12,D
t04_m.md,4,Законы сохранения,Средний,13,D
t04_m.md,4,Законы сохранения,Средний,14,D
t04_m.md,4,Законы сохранения,Средний,15,A
t04_m.md,4,Законы сохранения,Средний,16,D
t04_m.md,4,Законы сохранения,Средний,17,A
t04_m.md,4,Законы сохранения,Средний,18,B
t04_m.md,4,Законы сохранения,Средний,19,D
t04_m.md,4,Законы сохранения,Средний,20,B
t04_m.md,4,Законы сохранения,Средний,21,C
t04_m.md,4,Законы сохранения,Средний,22,D
t04_m.md,4,Законы сохранения,Средний,23,D
t04_m.md,4,Законы сохранения,Средний,24,B
t04_m.md,4,Законы сохранения,Средний,25,C
t04_m.md,4,Законы сохранения,Средний,26,D
t04_m.md,4,Законы сохранения,Средний,27,A
t04_m.md,4,Законы сохранения,Средний,28,D
t04_m.md,4,Законы сохранения,Средний,29,D
t04_m.md,4,Законы сохранения,Средний,30,D
t04_m.md,4,Законы сохранения,Средний,31,"A,B,C"
t04_m.md,4,Законы сохранения,Средний,32,"A,B,C"
t04_m.md,4,Законы сохранения,Средний,33,"A,B,C"
t04_m.md,4,Законы сохранения,Средний,34,"A,B"
t04_m.md,4,Законы сохранения,Средний,35,"A,B,C"
t04_m.md,4,Законы сохранения,Средний,36,1-B; 2-D; 3-A; 4-C
t04_m.md,4,Законы сохранения,Средний,37,1-B; 2-D; 3-A; 4-C
t04_m.md,4,Законы сохранения,Средний,38,1-B; 2-D; 3-A; 4-C
t04_m.md,4,Законы сохранения,Средний,39,1-B; 2-D; 3-A; 4-C
t04_m.md,4,Законы сохранения,Средний,40,1-B; 2-D; 3-A; 4-C
t04_h.md,4,Законы сохранения,Высокий,1,A
t04_h.md,4,Законы сохранения,Высокий,2,D
t04_h.md,4,Законы сохранения,Высокий,3,D
t04_h.md,4,Законы сохранения,Высокий,4,D
t04_h.md,4,Законы сохранения,Высокий,5,D
t04_h.md,4,Законы сохранения,Высокий,6,D
t04_h.md,4,Законы сохранения,Высокий,7,D
t04_h.md,4,Законы сохранения,Высокий,8,D
t04_h.md,4,Законы сохранения,Высокий,9,A
t04_h.md,4,Законы сохранения,Высокий,10,D
t04_h.md,4,Законы сохранения,Высокий,11,D
t04_h.md,4,Законы сохранения,Высокий,12,D
t04_h.md,4,Законы сохранения,Высокий,13,D
t04_h.md,4,Законы сохранения,Высокий,14,D
t04_h.md,4,Законы сохранения,Высокий,15,A
t04_h.md,4,Законы сохранения,Высокий,16,D
t04_h.md,4,Законы сохранения,Высокий,17,A
t04_h.md,4,Законы сохранения,Высокий,18,B
t04_h.md,4,Законы сохранения,Высокий,19,D
t04_h.md,4,Законы сохранения,Высокий,20,B
t04_h.md,4,Законы сохранения,Высокий,21,C
t04_h.md,4,Законы сохранения,Высокий,22,D
t04_h.md,4,Законы сохранения,Высокий,23,D
t04_h.md,4,Законы сохранения,Высокий,24,B
t04_h.md,4,Законы сохранения,Высокий,25,C
t04_h.md,4,Законы сохранения,Высокий,26,D
t04_h.md,4,Законы сохранения,Высокий,27,A
t04_h.md,4,Законы сохранения,Высокий,28,D
t04_h.md,4,Законы сохранения,Высокий,29,D
t04_h.md,4,Законы сохранения,Высокий,30,D
t04_h.md,4,Законы сохранения,Высокий,31,"A,B,C"
t04_h.md,4,Законы сохранения,Высокий,32,"A,B,C"
t04_h.md,4,Законы сохранения,Высокий,33,"A,B,C"
t04_h.md,4,Законы сохранения,Высокий,34,"A,B"
t04_h.md,4,Законы сохранения,Высокий,35,"A,B,C"
t04_h.md,4,Законы сохранения,Высокий,36,1-B; 2-D; 3-A; 4-C
t04_h.md,4,Законы сохранения,Высокий,37,1-B; 2-D; 3-A; 4-C
t04_h.md,4,Законы сохранения,Высокий,38,1-B; 2-D; 3-A; 4-C
t04_h.md,4,Законы сохранения,Высокий,39,1-B; 2-D; 3-A; 4-C
t04_h.md,4,Законы сохранения,Высокий,40,1-B; 2-D; 3-A; 4-C
t05_b.md,5,Механика жидкостей и газов,Базовый,1,D
t05_b.md,5,Механика жидкостей и газов,Базовый,2,D
t05_b.md,5,Механика жидкостей и газов,Базовый,3,D
t05_b.md,5,Механика жидкостей и газов,Базовый,4,D
t05_b.md,5,Механика жидкостей и газов,Базовый,5,D
t05_b.md,5,Механика жидкостей и газов,Базовый,6,D
t05_b.md,5,Механика жидкостей и газов,Базовый,7,A
t05_b.md,5,Механика жидкостей и газов,Базовый,8,D
t05_b.md,5,Механика жидкостей и газов,Базовый,9,D
t05_b.md,5,Механика жидкостей и газов,Базовый,10,D
t05_b.md,5,Механика жидкостей и газов,Базовый,11,D
t05_b.md,5,Механика жидкостей и газов,Базовый,12,C
t05_b.md,5,Механика жидкостей и газов,Базовый,13,D
t05_b.md,5,Механика жидкостей и газов,Базовый,14,A
t05_b.md,5,Механика жидкостей и газов,Базовый,15,D
t05_b.md,5,Механика жидкостей и газов,Базовый,16,A
t05_b.md,5,Механика жидкостей и газов,Базовый,17,B
t05_b.md,5,Механика жидкостей и газов,Базовый,18,D
t05_b.md,5,Механика жидкостей и газов,Базовый,19,B
t05_b.md,5,Механика жидкостей и газов,Базовый,20,C
t05_b.md,5,Механика жидкостей и газов,Базовый,21,D
t05_b.md,5,Механика жидкостей и газов,Базовый,22,D
t05_b.md,5,Механика жидкостей и газов,Базовый,23,B
t05_b.md,5,Механика жидкостей и газов,Базовый,24,C
t05_b.md,5,Механика жидкостей и газов,Базовый,25,A
t05_b.md,5,Механика жидкостей и газов,Базовый,26,D
t05_b.md,5,Механика жидкостей и газов,Базовый,27,A
t05_b.md,5,Механика жидкостей и газов,Базовый,28,D
t05_b.md,5,Механика жидкостей и газов,Базовый,29,D
t05_b.md,5,Механика жидкостей и газов,Базовый,30,D
t05_b.md,5,Механика жидкостей и газов,Базовый,31,"A,B,C"
t05_b.md,5,Механика жидкостей и газов,Базовый,32,"A,B,C"
t05_b.md,5,Механика жидкостей и газов,Базовый,33,"A,B,C"
t05_b.md,5,Механика жидкостей и газов,Базовый,34,"A,B"
t05_b.md,5,Механика жидкостей и газов,Базовый,35,"A,B,C"
t05_b.md,5,Механика жидкостей и газов,Базовый,36,1-B; 2-D; 3-A; 4-C
t05_b.md,5,Механика жидкостей и газов,Базовый,37,1-B; 2-D; 3-A; 4-C
t05_b.md,5,Механика жидкостей и газов,Базовый,38,1-B; 2-D; 3-A; 4-C
t05_b.md,5,Механика жидкостей и газов,Базовый,39,1-B; 2-D; 3-A; 4-C
t05_b.md,5,Механика жидкостей и газов,Базовый,40,1-B; 2-D; 3-A; 4-C
t05_m.md,5,Механика жидкостей и газов,Средний,1,D
